公開元,データセット,公開URL,目撃年月日,原本の市町村欄,原本の場所欄,原本の緯度,原本の経度,座標の実際の市町村コード,座標の実際の大字,判定,根拠
"富山県 自然保護課","ツキノワグマ出没情報「クマっぷ」","https://www.pref.toyama.jp/1709/kurashi/kankyoushizen/shizen/yaseiseibutsu/kumap.html","2025-12-03","富山市","砺波市庄川町金屋","36.56586691800004","136.9804942840001","16208","庄川町金屋","市町村名が誤り","座標の実際の大字「庄川町金屋」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"富山県 自然保護課","ツキノワグマ出没情報「クマっぷ」","https://www.pref.toyama.jp/1709/kurashi/kankyoushizen/shizen/yaseiseibutsu/kumap.html","2025-11-05","立山町","上市町野島","36.70132060000003","137.38621840000008","16322","野島","市町村名が誤り","座標の実際の大字「野島」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"富山県 自然保護課","ツキノワグマ出没情報「クマっぷ」","https://www.pref.toyama.jp/1709/kurashi/kankyoushizen/shizen/yaseiseibutsu/kumap.html","2025-10-29","南砺市","砺波市芹谷","36.63666020000005","137.0329891","16208","芹谷","市町村名が誤り","座標の実際の大字「芹谷」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"富山県 自然保護課","ツキノワグマ出没情報「クマっぷ」","https://www.pref.toyama.jp/1709/kurashi/kankyoushizen/shizen/yaseiseibutsu/kumap.html","2019-07-31","魚津市","北鬼江","36.69282950000007","137.10031000000004","16211","黒河","座標が誤り","「富山県魚津市北鬼江」は実在し 36.83204,137.40366。記録の座標は別の大字「黒河」を指しており座標が誤り"
"富山県 自然保護課","ツキノワグマ出没情報「クマっぷ」","https://www.pref.toyama.jp/1709/kurashi/kankyoushizen/shizen/yaseiseibutsu/kumap.html","2021-10-13","南砺市","瀬戸","36.571629200000075","137.27256050000005","16201","瀬戸","市町村名が誤り","座標の実際の大字「瀬戸」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"山梨県","令和7年度 クマ出没・目撃情報","https://catalog.dataplatform-yamanashi.jp/dataset/kuma1","2026-05-29","忍野村","忍野村内野","35.272153","138.51528","19366","下佐野","座標が誤り","「山梨県忍野村内野」は実在し 35.46158,138.87039。記録の座標は別の大字「下佐野」を指しており座標が誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2009-06-03","舞鶴市","舞鶴市桜が丘地内","35.315686","135.277004","26203","下八田町","判定不能","「京都府舞鶴市桜が丘地内」は国土地理院で確認できず（返り値=京都府舞鶴市）。座標の大字は「下八田町」で記録と一致せず、どちらが誤りか確定できない"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2009-09-05","舞鶴市","舞鶴市志高","35.352934","135.347924","26203","十倉名畑町","座標が誤り","「京都府舞鶴市志高」は実在し 35.43344,135.24855。記録の座標は別の大字「十倉名畑町」を指しており座標が誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-03-28","宮津市","宮津市香河","35.508088","135.120908","26465","字明石","判定不能","「京都府宮津市香河」は国土地理院で確認できず（返り値=京都府宮津市）。座標の大字は「字明石」で記録と一致せず、どちらが誤りか確定できない"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-07-02","京都市","京都市","35.319181","135.155956","26201","字川北","判定不能","地名の手掛かりが不足"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-07-31","京丹後市","京丹後市字喜多","35.516511","135.184392","26205","字喜多","市町村名が誤り","座標の実際の大字「字喜多」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-09-14","舞鶴市","舞鶴市瘤木","35.362231","135.101958","26201","字瘤木","市町村名が誤り","座標の実際の大字「字瘤木」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-09-29","福知山市","福知山市位田町浦壁","35.311742","135.253114","26203","位田町","市町村名が誤り","座標の実際の大字「位田町」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-10-15","福知山市","福知山市字上根","35.423231","135.380739","26202","字上根","市町村名が誤り","座標の実際の大字「字上根」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-10-17","舞鶴市","舞鶴市向田町岬ヶ岐","35.365233","135.246058","26203","向田町","市町村名が誤り","座標の実際の大字「向田町」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-10-20","舞鶴市","舞鶴市淵垣","35.323014","135.291597","26203","渕垣町","市町村名が誤り","座標の実際の大字「渕垣町」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-10-21","京丹後市","京丹後市宮津市字日置","35.614908","135.227994","26205","字日置","市町村名が誤り","座標の実際の大字「字日置」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-10-21","京丹後市","京丹後市宮津市字日置","35.613594","135.225939","26205","字日置","市町村名が誤り","座標の実際の大字「字日置」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-10-25","舞鶴市","舞鶴市八津合町","35.358156","135.406083","26203","八津合町","市町村名が誤り","座標の実際の大字「八津合町」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-10-29","舞鶴市","舞鶴市上八田町","35.354914","135.269086","26203","上八田町","市町村名が誤り","座標の実際の大字「上八田町」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2010-11-08","舞鶴市","舞鶴市字猪崎","35.301647","135.137403","26201","字猪崎","市町村名が誤り","座標の実際の大字「字猪崎」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2011-06-17","舞鶴市","舞鶴市堂奥","35.344361","135.031562","26201","字宮垣","座標が誤り","「京都府舞鶴市堂奥」は実在し 35.46133,135.42120。記録の座標は別の大字「字宮垣」を指しており座標が誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2011-07-08","福知山市","福知山市字雲原","35.598846","135.059252","26212","峰山町長岡","座標が誤り","「京都府福知山市雲原」は実在し 35.42486,135.06496。記録の座標は別の大字「峰山町長岡」を指しており座標が誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2011-08-12","舞鶴市","舞鶴市字下東","35.391227","135.120726","26201","大江町小原田","座標が誤り","「京都府舞鶴市下東」は実在し 35.45872,135.28966。記録の座標は別の大字「大江町小原田」を指しており座標が誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2011-10-08","舞鶴市","舞鶴市字福来","35.450606","135.039324","28209","但東町薬王寺","座標が誤り","「京都府舞鶴市福来」は実在し 35.44353,135.35339。記録の座標は別の大字「但東町薬王寺」を指しており座標が誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2011-10-15","綾部市","綾部市多田町","35.314664","135.10602","26201","字荒河","座標が誤り","「京都府綾部市多田町」は実在し 35.32070,135.26916。記録の座標は別の大字「字荒河」を指しており座標が誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2011-10-22","舞鶴市","舞鶴市三和町千束","35.218669","135.236982","26201","三和町千束","市町村名が誤り","座標の実際の大字「三和町千束」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2011-10-25","亀岡市","伊根町字峠","35.710306","135.262906","26463","字本庄上","判定不能","「京都府亀岡市伊根町字峠」は国土地理院で確認できず（返り値=京都府亀岡市）。座標の大字は「字本庄上」で記録と一致せず、どちらが誤りか確定できない"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2011-11-04","京丹後市","京丹後市字滝馬","35.528122","135.187194","26205","字滝馬","市町村名が誤り","座標の実際の大字「字滝馬」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2011-12-01","綾部市","綾部市字大波上","35.506771","135.421897","26202","字大波上","市町村名が誤り","座標の実際の大字「字大波上」が記録の地名と一致。座標は記録どおりの場所を指しており、市町村名の欄のみ誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2012-08-02","綾部市","綾部市於与岐町細迫","35.215081","135.326281","26407","三ノ宮","判定不能","「京都府綾部市於与岐町細迫」は国土地理院で確認できず（返り値=京都府綾部市於与岐町）。座標の大字は「三ノ宮」で記録と一致せず、どちらが誤りか確定できない"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2012-08-16","与謝野町","与謝野町石川","35.579315","135.118648","26212","大宮町森本","座標が誤り","「京都府与謝野町石川」は実在し 35.52934,135.13896。記録の座標は別の大字「大宮町森本」を指しており座標が誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2013-08-22","綾部市","綾部市味方町","35.300897","135.485556","26213","美山町三埜","座標が誤り","「京都府綾部市味方町」は実在し 35.29964,135.27525。記録の座標は別の大字「美山町三埜」を指しており座標が誤り"
"京都府","ツキノワグマ目撃情報（オープンデータ）","https://data.bodik.jp/dataset/260002_bear","2013-09-01","福知山市","福知山市一ノ宮","35.460683","135.460683","26202","字多門院","座標が誤り","「京都府福知山市一ノ宮」は実在し 35.36605,135.04700。記録の座標は別の大字「字多門院」を指しており座標が誤り"
